date,Open,High,Low,OT,Adj Close,Volume
11/11/2020,422.5,428,416.25,417.25,417.25,306427
11/12/2020,417.25,418.5,406.25,408.25,408.25,234330
11/13/2020,407.5,413.25,403.75,410.5,410.5,188493
11/16/2020,409,416.75,409,416.25,416.25,132116
11/17/2020,417.5,422,417.25,420.25,420.25,156573
11/18/2020,419,428.5,418.5,425.75,425.75,205431
11/19/2020,424.5,425.5,418.75,422.5,422.5,133305
11/20/2020,422.25,428,421.5,423.25,423.25,137243
11/23/2020,427.5,429.75,423.5,426.5,426.5,153801
11/24/2020,425.75,426.5,416.5,425.75,425.75,144304
11/25/2020,426,427.5,420,420,420,124261
11/27/2020,420.25,426.25,418.5,425.5,425.5,68262
11/30/2020,427.5,430.5,418.25,419.75,419.75,14701
12/1/2020,420,423,414,414.75,414.75,5316
12/2/2020,414.5,419.75,409,419,419,3551
12/3/2020,419.25,423.25,417.75,422.5,422.5,2379
12/4/2020,422.25,422.75,415.75,417,417,1675
12/7/2020,415.25,421,412,419.5,419.5,1156
12/8/2020,418.75,419,415.5,417,417,1757
12/9/2020,418,422.25,418,422,422,1079
12/10/2020,422,425.75,420,420.25,420.25,1262
12/11/2020,422,424.5,417.5,424.25,424.25,1724
12/14/2020,424.75,429.75,419.25,419.25,419.25,108692
12/15/2020,424,425.25,420.5,424.75,424.75,98612
12/16/2020,425.25,429.25,423.75,427.25,427.25,111651
12/17/2020,426.25,433,424.25,432.5,432.5,119655
12/18/2020,432.25,438.5,432,437.5,437.5,128812
12/21/2020,438,440.75,430.25,440,440,141947
12/22/2020,440,444.25,437.25,443.5,443.5,140992
12/23/2020,442.75,449.75,441.5,447.25,447.25,147651
12/24/2020,446.75,451.5,446.5,451,451,74879
12/28/2020,452,457.5,448,456.5,456.5,145219
12/29/2020,455.75,467.25,453.5,466,466,191298
12/30/2020,466,476,462,474.5,474.5,163367
12/31/2020,474,485.75,473,484,484,168459
1/4/2021,487.25,497.75,479.5,483.75,483.75,265157
